department,max,med,ratio,standard deviation
AR-Architecture School,300000.0,70490.5,4.25589263802,49671.8906712
AS-College of Arts & Sciences,500000.0,60094.0,8.32029819949,54789.6602904
AT-Athletics,2866538.0,54440.0,52.6549963262,199356.136847
AT-IM-Sports,106803.0,44398.0,2.40558133249,16511.534063
BA-Frank Batten School,373200.0,68340.0,5.46093064091,73795.0403546
BU-Business Operations,238500.0,51130.0,4.66458048113,63075.5437947
BU-Dining Svcs,50143.0,33177.0,1.51137836453,7022.45878909
BU-Housing Div,110478.0,60000.0,1.8413,22391.9972423
BU-Parking and Transportation,123000.0,31345.0,3.92407082469,16557.6465007
BU-Printing and Copy Services,83000.0,41832.0,1.98412698413,12724.2952678
BU-University Bookstore,103000.0,36300.0,2.83746556474,14568.7569375
CO-Audit Dept,257500.0,87433.5,2.94509541537,54736.4287829
CO-Compliance,180500.0,180500.0,1.0,
CO-Exec VP/COO,501600.0,130000.0,3.85846153846,127559.468615
CO-Office of Safety & Emergency Preparedness,141000.0,85053.0,1.65778984868,30218.3434799
CO-Organizational Excellence,235000.0,93750.0,2.50666666667,70420.4634085
CO-Police Dept,150000.0,36462.0,4.1138719763,16185.5662823
CO-Treasury Management,260000.0,86250.0,3.01449275362,61785.6014327
CO-UVIMCO,300000.0,300000.0,1.0,
CP-School of Cont/Prof Studies,229800.0,62517.0,3.67580018235,37386.9461854
CU-Curry School,383600.0,61259.0,6.2619370215,49596.5081797
DA-Darden School,540800.0,68500.0,7.89489051095,84396.1643912
DE-VP/Diversity and Equity,349000.0,63038.5,5.5362992457,103400.533678
DV-Assoc VP-HS,300000.0,70000.0,4.28571428571,49265.6160484
DV-VP Office,464100.0,61522.5,7.54358161648,52540.22556
EN-Engr School,395200.0,61009.0,6.47773279352,63784.7637919
FI-Financial Operations         ,168005.0,67600.0,2.48528106509,34213.1482451
FI-Office of Financial Planning & Analysis,217000.0,82000.0,2.64634146341,44160.7229023
FI-Procurement and Supplier Diversity Services,194000.0,62500.0,3.104,30973.300887
FI-Sponsored Programs,186000.0,62531.5,2.97450085157,33492.5772882
FI-Student Financial Services,162000.0,50150.0,3.23030907278,26865.8451961
FI-VP Finance,306000.0,77500.0,3.94838709677,48081.3741694
FM-Facilities Management,293700.0,44500.0,6.6,22752.7732285
HR-Human Resources,210000.0,63868.0,3.2880315651,30078.4392462
HS-EVP for Health Affairs,742600.0,525000.0,1.41447619048,246856.746583
HS-Health Sciences Library,163200.0,60000.0,2.72,28891.3421935
HS-Med Ctr,32277.0,32277.0,1.0,
IT-CIO,312000.0,183600.0,1.69934640523,75117.5134927
IT-ITS,189280.0,79948.0,2.36753890029,25911.7055762
IT-ITS Comm Svcs,97037.0,43977.0,2.20653978216,22458.731159
LB-Library-UVa,325000.0,58100.0,5.59380378657,27717.863256
LW-Law School,453000.0,72000.0,6.29166666667,91846.2560702
MC-McIntire School,472200.0,78800.0,5.9923857868,80174.5466186
MD-School of Medicine,600000.0,66031.0,9.08664112311,52940.1409477
NR-Nursing School,367100.0,74538.0,4.92500469559,47586.4831719
OP-Architect-Uva,236900.0,111000.0,2.13423423423,49130.5469237
OP-Real Estate and Leasing Services,127000.0,96550.0,1.3153806318,43062.8029743
OP-SVP Operations,377500.0,100750.0,3.74689826303,153070.580126
OP-State Gov Relations-UVa,80000.0,80000.0,1.0,
PR-Board Office,147000.0,101937.0,1.44206715913,24265.6442939
PR-EOCR Office,216300.0,100000.0,2.163,47082.2281219
PR-General Counsel,188700.0,127500.0,1.48,41225.771935
PR-Miller Center,362500.0,60000.0,6.04166666667,61646.7421306
PR-President's Office,559831.0,81600.0,6.86067401961,96730.5803729
PR-University Communications,295000.0,64131.0,4.59995945798,49391.056797
PV-Admissions-Undergrad,195000.0,46200.0,4.22077922078,30510.6343594
PV-Ctr Politics,162000.0,67388.0,2.40398884074,37560.3053354
PV-Ctr for Public Svc,163700.0,62919.0,2.6017578156,34896.4752301
PV-Ofc of Exec VP & Provost,419100.0,91500.0,4.58032786885,85317.2998215
PV-VA Fnd/Humanities,226000.0,62150.0,3.63636363636,33570.6422704
PV-VP for Administration,153700.0,56840.0,2.70408163265,24152.0598804
PV-Vice Prov for Educ Innov,73150.0,61935.5,1.18106740076,15859.6979952
PV-Vice Prov for the Arts,168000.0,49500.0,3.39393939394,24586.1637144
PV-Vice Prov-Acad Affairs,200000.0,42800.0,4.67289719626,38430.8528469
PV-Vice Prov-Acad Outreach,88400.0,24038.0,3.6775106082,12940.3892667
PV-Vice Prov-Global Affairs,197300.0,47039.5,4.19434730386,34509.2315573
RS-Envir Health/Safety,116508.0,58479.0,1.99230492997,20278.2903158
RS-VP for Research,286134.0,40872.5,7.0006483577,45544.797758
SA-African American Affairs,93300.0,50000.0,1.866,26587.1538379
SA-Dean of Students,218000.0,48959.0,4.45270532486,34146.7648397
SA-SH-Student Health,214800.0,60106.0,3.57368648721,39645.990687
SA-UVA Career Center,218000.0,54496.0,4.00029359953,33961.0788797
SA-VP Office,270300.0,59600.0,4.53523489933,66252.5919206
ST-VP Information Technology,309000.0,88900.0,3.47581552306,68267.716822
SW-SW VA H Ed Ctr,130000.0,42878.0,3.03185782919,26689.0615983
WS-Provost,277200.0,61800.0,4.4854368932,30728.7668209
WS-VC Administration,110000.0,35000.0,3.14285714286,13179.0369242
