,name,gender,count
0,Aailiyah,F,1
1,Aailyah,F,3
2,Aaisha,F,9
3,Aala,F,1
4,Aalaiyah,F,1
5,Aalayah,F,3
6,Aaleah,F,1
7,Aaleeyah,F,2
8,Aaleigha,F,1
9,Aalexis,F,1
10,Aalexus,F,1
11,Aaleyah,F,4
12,Aalia,F,3
13,Aaliah,F,4
14,Aaliayah,F,3
15,Aalijah,F,2
16,Aaliya,F,5
17,Aaliyah,F,22
18,Aaliyan,F,2
19,Aaliyha,F,4
20,Aalliyah,F,3
21,Aalyah,F,4
22,Aalyiah,F,4
23,Aalyssa,F,1
24,Aamanda,F,2
25,Aamber,F,2
26,Aamina,F,5
27,Aaminah,F,6
28,Aamira,F,1
29,Aamna,F,3
30,Aanchal,F,1
31,Aanisah,F,2
32,Aapri,F,1
33,Aaren,F,21
34,Aariana,F,3
35,Aarianna,F,1
36,Aarica,F,12
37,Aariel,F,7
38,Aarika,F,19
39,Aarin,F,21
40,Aarion,F,8
41,Aariona,F,3
42,Aarionna,F,1
43,Aaron,F,50
44,Aarona,F,1
45,Aaronda,F,1
46,Aaronette,F,2
47,Aarthi,F,5
48,Aarti,F,25
49,Aaryn,F,25
50,Aasha,F,7
51,Aashka,F,2
52,Aashna,F,5
53,Aasia,F,6
54,Aasiya,F,2
55,Aasiyah,F,1
56,Aaya,F,1
57,Aba,F,2
58,Abagael,F,8
59,Abagail,F,32
60,Abagaile,F,1
61,Abagale,F,7
62,Abagayle,F,3
63,Abaigeal,F,8
64,Abbagail,F,13
65,Abbagale,F,1
66,Abbagayle,F,1
67,Abbe,F,49
68,Abbee,F,5
69,Abbegail,F,6
70,Abbegale,F,1
71,Abbegayle,F,1
72,Abbey,F,51
73,Abbeygail,F,1
74,Abbi,F,29
75,Abbie,F,51
76,Abbiegail,F,2
77,Abbigael,F,3
78,Abbigail,F,33
79,Abbigal,F,1
80,Abbigale,F,14
81,Abbigayle,F,12
82,Abbra,F,4
83,Abbrielle,F,1
84,Abby,F,51
85,Abbye,F,14
86,Abbygail,F,12
87,Abbygale,F,5
88,Abbygayle,F,3
89,Abcde,F,3
90,Abeer,F,25
91,Abegail,F,13
92,Abel,F,11
93,Abelina,F,30
94,Abena,F,24
95,Abeni,F,16
96,Aber,F,1
97,Aberdeen,F,1
98,Abgail,F,2
99,Abha,F,1
100,Abi,F,19
101,Abibail,F,1
102,Abie,F,2
103,Abigael,F,16
104,Abigahil,F,2
105,Abigail,F,51
106,Abigaile,F,7
107,Abigal,F,19
108,Abigale,F,30
109,Abigayil,F,2
110,Abigayl,F,5
111,Abigayle,F,24
112,Abigial,F,3
113,Abilene,F,12
114,Abilgail,F,2
115,Abimbola,F,13
116,Abiola,F,11
117,Abir,F,7
118,Abisag,F,1
119,Abisola,F,5
120,Abony,F,6
121,Abra,F,39
122,Abrah,F,4
123,Abraham,F,16
124,Abranda,F,1
125,Abrar,F,8
126,Abraxas,F,1
127,Abrea,F,8
128,Abreana,F,1
129,Abreanna,F,8
130,Abree,F,9
131,Abreia,F,1
132,Abreona,F,1
133,Abrey,F,1
134,Abreya,F,1
135,Abria,F,11
136,Abrial,F,2
137,Abrian,F,1
138,Abriana,F,10
139,Abrianna,F,12
140,Abrie,F,1
141,Abriel,F,11
142,Abriele,F,1
143,Abrielle,F,13
144,Abrigail,F,4
145,Abril,F,27
146,Abrille,F,2
147,Abrina,F,8
148,Abriona,F,1
149,Abrionna,F,1
150,Abryana,F,1
151,Abryanna,F,2
152,Aby,F,3
153,Abygail,F,12
154,Abygale,F,1
155,Abygayle,F,1
156,Acacia,F,27
157,Acadia,F,10
158,Acasia,F,5
159,Accacia,F,2
160,Achaia,F,4
161,Achante,F,3
162,Achel,F,6
163,Achsah,F,2
164,Acia,F,1
165,Acquanetta,F,23
166,Acquanette,F,2
167,Acura,F,3
168,Ada,F,51
169,Adabel,F,5
170,Adacia,F,1
171,Adaeze,F,13
172,Adah,F,33
173,Adahli,F,2
174,Adaiah,F,2
175,Adaijah,F,2
176,Adair,F,46
177,Adaira,F,4
178,Adaire,F,4
179,Adaisha,F,5
180,Adaja,F,2
181,Adajah,F,1
182,Adaku,F,1
183,Adale,F,1
184,Adalee,F,4
185,Adalene,F,1
186,Adalhi,F,1
187,Adali,F,3
188,Adalia,F,34
189,Adalida,F,3
190,Adalie,F,5
191,Adalina,F,8
192,Adalinda,F,1
193,Adaline,F,42
194,Adalis,F,6
195,Adalisa,F,1
196,Adaliz,F,6
197,Adaly,F,3
198,Adalyn,F,6
199,Adalynn,F,2
200,Adam,F,37
201,Adama,F,17
202,Adamma,F,1
203,Adan,F,5
204,Adana,F,22
205,Adanna,F,10
206,Adaobi,F,3
207,Adar,F,2
208,Adara,F,15
209,Adaria,F,4
210,Adasha,F,7
211,Adasia,F,3
212,Adaya,F,1
213,Adaysha,F,1
214,Adayshia,F,2
215,Adda,F,5
216,Addeline,F,1
217,Addi,F,8
218,Addie,F,51
219,Addis,F,1
220,Addisen,F,3
221,Addison,F,16
222,Addisyn,F,3
223,Addrianna,F,2
224,Addrienne,F,2
225,Addy,F,24
226,Addyson,F,8
227,Adea,F,4
228,Adean,F,1
229,Adeana,F,23
230,Adeanna,F,1
231,Adebisi,F,2
232,Adebola,F,3
233,Adedoyin,F,1
234,Adeeba,F,1
235,Adeena,F,15
236,Adeja,F,3
237,Adejah,F,1
238,Adekemi,F,1
239,Adel,F,45
240,Adela,F,51
241,Adelaida,F,51
242,Adelaide,F,51
243,Adelaine,F,4
244,Adele,F,51
245,Adelena,F,1
246,Adelene,F,19
247,Adelfa,F,15
248,Adeli,F,1
249,Adelia,F,51
250,Adelicia,F,1
251,Adelina,F,51
252,Adeline,F,51
253,Adelisa,F,1
254,Adelita,F,51
255,Adell,F,46
256,Adella,F,51
257,Adelle,F,51
258,Adelmira,F,3
259,Adely,F,1
260,Adelyn,F,16
261,Adelyne,F,1
262,Adelynn,F,6
263,Aden,F,9
264,Adena,F,50
265,Adene,F,2
266,Adenike,F,19
267,Adeola,F,18
268,Adero,F,1
269,Aderonke,F,4
270,Adesha,F,1
271,Adesina,F,1
272,Adesola,F,2
273,Adessa,F,10
274,Adesuwa,F,7
275,Adetokunbo,F,1
276,Adeva,F,1
277,Adeyinka,F,1
278,Adhley,F,1
279,Adi,F,21
280,Adia,F,24
281,Adiah,F,1
282,Adiam,F,2
283,Adiana,F,5
284,Adianez,F,1
285,Adianna,F,1
286,Adiba,F,1
287,Adie,F,1
288,Adiel,F,1
289,Adijah,F,1
290,Adilah,F,3
291,Adilene,F,11
292,Adileni,F,1
293,Adilenne,F,7
294,Adilia,F,3
295,Adina,F,51
296,Adinah,F,2
297,Adine,F,16
298,Adira,F,4
299,Adisa,F,1
300,Adison,F,7
301,Aditi,F,20
302,Adiya,F,1
303,Adja,F,1
304,Adjoa,F,4
305,Adjua,F,1
306,Adlai,F,1
307,Adlean,F,3
308,Adlene,F,3
309,Adlin,F,2
310,Adline,F,17
311,Adnrea,F,1
312,Adolfo,F,2
313,Adona,F,3
314,Adonia,F,22
315,Adonica,F,42
316,Adonis,F,8
317,Adonna,F,43
318,Adora,F,48
319,Adoree,F,3
320,Adoria,F,7
321,Adorn,F,1
322,Adra,F,31
323,Adrain,F,44
324,Adraine,F,28
325,Adrainne,F,2
326,Adrea,F,41
327,Adrean,F,37
328,Adreana,F,23
329,Adreann,F,1
330,Adreanna,F,19
331,Adreanne,F,17
332,Adree,F,1
333,Adreena,F,4
334,Adreina,F,2
335,Adreinne,F,3
336,Adrena,F,41
337,Adrene,F,3
338,Adreona,F,4
339,Adreonna,F,5
340,Adri,F,5
341,Adria,F,51
342,Adriahna,F,1
343,Adrian,F,51
344,Adriana,F,51
345,Adrianah,F,1
346,Adriane,F,51
347,Adriann,F,44
348,Adrianna,F,48
349,Adriannah,F,3
350,Adrianne,F,51
351,Adrianny,F,1
352,Adriauna,F,5
353,Adriaunna,F,3
354,Adrie,F,3
355,Adrieana,F,8
356,Adrieanna,F,12
357,Adrieanne,F,3
358,Adriel,F,21
359,Adrielle,F,15
360,Adrien,F,46
361,Adriena,F,10
362,Adriene,F,46
363,Adrienn,F,4
364,Adrienna,F,35
365,Adrienne,F,51
366,Adriennie,F,1
367,Adrin,F,2
368,Adrina,F,40
369,Adrine,F,8
370,Adrinne,F,10
371,Adriona,F,7
372,Adrionna,F,9
373,Adriyana,F,1
374,Adryan,F,7
375,Adryana,F,6
376,Adryanna,F,7
377,Adwoa,F,11
378,Adylene,F,5
379,Adyson,F,4
380,Aeisha,F,21
381,Aeja,F,2
382,Aelicia,F,1
383,Aelisa,F,1
384,Aelish,F,1
385,Aeon,F,1
386,Aerial,F,17
387,Aeriana,F,4
388,Aerianna,F,3
389,Aerica,F,10
390,Aericka,F,1
391,Aerie,F,1
392,Aeriel,F,16
393,Aeriell,F,4
394,Aerielle,F,11
395,Aerika,F,8
396,Aerin,F,19
397,Aerion,F,2
398,Aeron,F,8
399,Aeryn,F,4
400,Aesha,F,21
401,Aeshia,F,1
402,Afaf,F,2
403,Afeni,F,3
404,Aferdita,F,1
405,Affie,F,1
406,Afi,F,6
407,Afia,F,19
408,Afifa,F,1
409,Afiya,F,22
410,Afnan,F,8
411,Afra,F,5
412,Afrah,F,1
413,Afreen,F,5
414,Africa,F,29
415,Africia,F,1
416,Afrika,F,22
417,Afsana,F,3
418,Afsaneh,F,3
419,Afshan,F,7
420,Afsheen,F,1
421,Aftan,F,9
422,Aften,F,10
423,Aftin,F,6
424,Afton,F,35
